,date,I,R,D,C,I_p,C_p
121,2020-05-31,42075,157507,33415,232997,42555.55756109301,232997.0
122,2020-06-01,41367,158355,33475,233197,39263.34148332827,233197.0
123,2020-06-02,39893,160092,33530,233515,38746.59787033478,233515.0
124,2020-06-03,39297,160938,33601,233836,39620.808162255,233836.0
125,2020-06-04,38429,161895,33689,234013,37346.55049337643,234013.0
126,2020-06-05,36976,163781,33774,234531,38232.23092879952,234531.0
127,2020-06-06,35877,165078,33846,234801,36721.12475716971,234801.0
128,2020-06-07,35262,165837,33899,234998,34080.06973631167,234998.0
129,2020-06-08,34730,166584,33964,235278,33776.47352414253,235278.0
130,2020-06-09,32872,168646,34043,235561,33784.30969523281,235561.0
131,2020-06-10,31710,169939,34114,235763,33803.173464545784,235763.0
132,2020-06-11,30637,171338,34167,236142,29549.29919968126,236142.0
133,2020-06-12,28997,173085,34223,236305,29691.286561758978,236305.0
134,2020-06-13,27485,174865,34301,236651,28643.741119558737,236651.0
135,2020-06-14,26274,176370,34345,236989,26072.67646421488,236989.0
136,2020-06-15,25909,177010,34371,237290,24679.3945980192,237290.0
137,2020-06-16,24569,178526,34405,237500,24103.18931940776,237500.0
138,2020-06-17,23925,179455,34448,237828,25201.015072742583,237828.0
139,2020-06-18,23101,180544,34514,238159,22072.26713575701,238159.0
140,2020-06-19,21543,181907,34561,238011,22874.89495259626,238011.0
141,2020-06-20,21212,182453,34610,238275,21620.85851918019,238275.0
142,2020-06-21,20972,182893,34634,238499,18723.413147222185,238499.0
143,2020-06-22,20637,183426,34657,238720,20669.27443843822,238720.0
144,2020-06-23,19573,184585,34675,238833,20496.97769758161,238833.0
145,2020-06-24,18655,186111,34644,239410,20121.833645759973,239410.0
146,2020-06-25,18303,186725,34678,239706,17594.015768598612,239706.0
147,2020-06-26,17638,187615,34708,239961,16844.9291421798,239961.0
148,2020-06-27,16836,188584,34716,240136,17566.830696838795,240136.0
149,2020-06-28,16681,188891,34738,240310,16231.651889546072,240310.0
150,2020-06-29,16496,189196,34744,240436,15475.427737820724,240436.0
151,2020-06-30,15563,190248,34767,240578,16336.75432828483,240578.0
152,2020-07-01,15255,190717,34788,240760,16131.473762631773,240760.0
153,2020-07-02,15060,191083,34818,240961,13777.21039521,240961.0
154,2020-07-03,,,,,15060.0,241155.97
155,2020-07-04,,,,,16793.01255756025,241345.0909
156,2020-07-05,,,,,18724.941693990186,241528.538173
157,2020-07-06,,,,,20878.49557652546,241706.48202781
158,2020-07-07,,,,,23278.944624879463,241879.0875669757
159,2020-07-08,,,,,25954.403285850294,242046.51493996644
160,2020-07-09,,,,,28936.140998476614,242208.91949176745
161,2020-07-10,,,,,32258.924926796702,242366.45190701442
162,2020-07-11,,,,,35961.39714851622,242519.25834980397
163,2020-07-12,,,,,40086.48906914284,242667.48059930984
164,2020-07-13,,,,,44681.87586945141,242811.25618133054
165,2020-07-14,,,,,49800.4737731031,242950.71849589061
166,2020-07-15,,,,,55500.98282026452,243085.9969410139
167,2020-07-16,,,,,61848.477626507425,243217.2170327835
168,2020-07-17,,,,,68915.04826240939,243344.5005218
169,2020-07-18,,,,,76780.49286923438,243467.965506146
170,2020-07-19,,,,,85533.062882532,243587.72654096162
171,2020-07-20,,,,,95270.260711369,243703.8947447328
172,2020-07-21,,,,,106099.68834794837,243816.57790239083
173,2020-07-22,,,,,118139.94357981707,243925.88056531912
174,2020-07-23,,,,,131521.55815024645,244031.90414835958
175,2020-07-24,,,,,146387.9692526838,244134.74702390883
176,2020-07-25,,,,,162896.51202867817,244234.5046131916
177,2020-07-26,,,,,181219.41612772405,244331.26947479587
178,2020-07-27,,,,,201544.78373285243,244425.13139055204
179,2020-07-28,,,,,224077.51960142722,244516.17744883551
180,2020-07-29,,,,,249040.17546123525,244604.49212537048
181,2020-07-30,,,,,276673.66139526496,244690.1573616094
182,2020-07-31,,,,,307237.76553281513,244773.25264076114
183,2020-08-01,,,,,341011.41038349003,244853.85506153834
184,2020-08-02,,,,,378292.55953714304,244932.03940969222
185,2020-08-03,,,,,419397.67237329576,245007.8782274015
186,2020-08-04,,,,,464660.5872338548,245081.44188057948
187,2020-08-05,,,,,514430.69582681434,245152.79862416213
188,2020-08-06,,,,,569070.2543974416,245222.01466543728
189,2020-08-07,,,,,628950.6618038949,245289.1542254742
190,2020-08-08,,,,,694447.5229570941,245354.27959871
191,2020-08-09,,,,,765934.310612495,245417.45121074875
192,2020-08-10,,,,,843774.442356632,245478.72767442634
193,2020-08-11,,,,,928311.6065685201,245538.1658441936
194,2020-08-12,,,,,1019858.2054440774,245595.82086886786
195,2020-08-13,,,,,1118681.8394441297,245651.7462428019
196,2020-08-14,,,,,1224989.8402559713,245705.9938555179
197,2020-08-15,,,,,1338911.972315697,245758.61403985246
198,2020-08-16,,,,,1460481.568313939,245809.65561865698
199,2020-08-17,,,,,1589615.5414278533,245859.16595009738
200,2020-08-18,,,,,1726093.9219121286,245907.19097159457
201,2020-08-19,,,,,1869539.7886204352,245953.77524244683
202,2020-08-20,,,,,2019400.6913398649,245998.96198517355
203,2020-08-21,,,,,2174932.865230926,246042.79312561845
204,2020-08-22,,,,,2335189.695818259,246085.30933185
205,2020-08-23,,,,,2499015.9692826564,246126.55005189462
206,2020-08-24,,,,,2665049.404874404,246166.5535503379
207,2020-08-25,,,,,2831730.78491755,246205.3569438279
208,2020-08-26,,,,,2997323.6542793657,246242.99623551322
209,2020-08-27,,,,,3159944.0532762916,246279.50634844796
210,2020-08-28,,,,,3317600.0957909417,246314.92115799466
211,2020-08-29,,,,,3468240.4526299033,246349.27352325496
212,2020-08-30,,,,,3609810.016908543,246382.59531755745
213,2020-08-31,,,,,3740310.298541956,246414.91745803086
214,2020-09-01,,,,,3857861.509806775,246446.26993429006
215,2020-09-02,,,,,3960762.9463884993,246476.68183626147
216,2020-09-03,,,,,4047548.198602355,246506.18138117375
217,2020-09-04,,,,,4117031.971148964,246534.79593973866
218,2020-09-05,,,,,4168345.831332267,246562.55206154662
219,2020-09-06,,,,,4200960.989484074,246589.47549970035
220,2020-09-07,,,,,4214697.153994587,246615.59123470946
221,2020-09-08,,,,,4209717.491710194,246640.9234976683
222,2020-09-09,,,,,4186510.6563635124,246665.49579273837
223,2020-09-10,,,,,4145861.631737419,246689.33091895634
224,2020-09-11,,,,,4088813.7076310916,246712.45099138777
225,2020-09-12,,,,,4016624.233254757,246734.87746164625
226,2020-09-13,,,,,3930716.8748902753,246756.63113779697
227,2020-09-14,,,,,3832632.9703770024,246777.73220366318
228,2020-09-15,,,,,3723984.269025284,246798.20023755342
229,2020-09-16,,,,,3606408.928100586,246818.05423042696
230,2020-09-17,,,,,3481532.162757051,246837.3126035143
231,2020-09-18,,,,,3350932.4655923382,246855.993225409
232,2020-09-19,,,,,3216113.8645754573,246874.11342864687
233,2020-09-20,,,,,3078484.301280426,246891.6900257876
234,2020-09-21,,,,,2939339.9003173495,246908.7393250141
235,2020-09-22,,,,,2799854.6703110966,246925.2771452638
236,2020-09-23,,,,,2661075.023429372,246941.318830906
237,2020-09-24,,,,,2523918.4155810177,246956.87926597896
238,2020-09-25,,,,,2389175.3812462883,246971.97288799973
239,2020-09-26,,,,,2257514.2526609055,246986.61370135986
240,2020-09-27,,,,,2129487.9003344625,247000.8152903192
241,2020-09-28,,,,,2005541.899534634,247014.59083160976
242,2020-09-29,,,,,1886023.6061168497,247027.9531066616
243,2020-09-30,,,,,1771191.7076054653,247040.91451346187
244,2020-10-01,,,,,1661225.8963263158,247053.48707805816
245,2020-10-02,,,,,1556236.386940612,247065.68246571656
246,2020-10-03,,,,,1456273.0686456559,247077.5119917452
247,2020-10-04,,,,,1361334.1414208086,247088.986631993
248,2020-10-05,,,,,1271374.135679569,247100.11703303337
