,beta,gamma,sse
266,0.24000000000000007,0.13999999999999999,512655.7054320522
267,0.24000000000000007,0.15,643457.4812706165
268,0.24000000000000007,0.16,787583.5525219968
269,0.24000000000000007,0.17,944611.72667136
270,0.24000000000000007,0.18000000000000002,1114129.7398866003
271,0.24000000000000007,0.19000000000000003,1295735.048588664
272,0.24000000000000007,0.20000000000000004,1489034.6244026443
273,0.24000000000000007,0.21000000000000005,1693644.7524439348
274,0.24000000000000007,0.22000000000000006,1909190.8328940351
275,0.24000000000000007,0.23000000000000007,2135307.1858211462
276,0.25000000000000006,0.01,342420.2863402569
277,0.25000000000000006,0.02,236265.49495909896
278,0.25000000000000006,0.03,150513.37207910258
279,0.25000000000000006,0.04,84578.83277790056
280,0.25000000000000006,0.05,37890.02046204932
281,0.25000000000000006,0.060000000000000005,9888.046060541183
282,0.25000000000000006,0.07,26.73128491998319
283,0.25000000000000006,0.08,7772.3559042134275
284,0.25000000000000006,0.09,32603.408983339123
285,0.25000000000000006,0.09999999999999999,74010.34403405769
286,0.25000000000000006,0.10999999999999999,131495.3380279846
287,0.25000000000000006,0.11999999999999998,204572.0542216084
288,0.25000000000000006,0.12999999999999998,292765.4087436539
289,0.25000000000000006,0.13999999999999999,395611.34089564165
290,0.25000000000000006,0.15,512656.5871168113
291,0.25000000000000006,0.16,643458.4585651037
292,0.25000000000000006,0.17,787584.622266294
293,0.25000000000000006,0.18000000000000002,944612.8857837622
294,0.25000000000000006,0.19000000000000003,1114130.9853618722
295,0.25000000000000006,0.20000000000000004,1295736.3774963329
296,0.25000000000000006,0.21000000000000005,1489036.0338853276
297,0.25000000000000006,0.22000000000000006,1693646.2397156935
298,0.25000000000000006,0.23000000000000007,1909192.395238752
299,0.25000000000000006,0.24000000000000007,2135308.820590949
300,0.26000000000000006,0.01,469575.32545913674
301,0.26000000000000006,0.02,342419.4424014797
302,0.26000000000000006,0.03,236264.80141107572
303,0.26000000000000006,0.04,150512.82442104828
304,0.26000000000000006,0.05,84578.42661642656
305,0.26000000000000006,0.060000000000000005,37889.75150890018
306,0.26000000000000006,0.07,9887.910130365186
307,0.26000000000000006,0.08,26.72429308103217
308,0.26000000000000006,0.09,7772.473864639995
309,0.26000000000000006,0.09999999999999999,32603.64800641248
310,0.26000000000000006,0.10999999999999999,74010.70032453873
311,0.26000000000000006,0.11999999999999998,131495.80788297608
312,0.26000000000000006,0.12999999999999998,204572.6340285524
313,0.26000000000000006,0.13999999999999999,292766.09497837175
314,0.26000000000000006,0.15,395612.13012039877
315,0.26000000000000006,0.16,512657.47597842594
316,0.26000000000000006,0.17,643459.4437930853
317,0.26000000000000006,0.18000000000000002,787585.7006710204
318,0.26000000000000006,0.19000000000000003,944614.054254678
319,0.26000000000000006,0.20000000000000004,1114132.2408657346
320,0.26000000000000006,0.21000000000000005,1295737.717075477
321,0.26000000000000006,0.22000000000000006,1489037.4546559784
322,0.26000000000000006,0.23000000000000007,1693647.7388662891
323,0.26000000000000006,0.24000000000000007,1909193.9700283105
324,0.26000000000000006,0.25000000000000006,2135310.468347463
325,0.2700000000000001,0.01,618343.6225694919
326,0.2700000000000001,0.02,469574.3181220967
327,0.2700000000000001,0.03,342418.59138795955
328,0.2700000000000001,0.04,236264.1020649282
329,0.2700000000000001,0.05,150512.27219709332
330,0.2700000000000001,0.060000000000000005,84578.017078119
331,0.2700000000000001,0.07,37889.48032602234
332,0.2700000000000001,0.08,9887.773076775089
333,0.2700000000000001,0.09,26.71724449026771
334,0.2700000000000001,0.09999999999999999,7772.592796437932
335,0.2700000000000001,0.10999999999999999,32603.888991525622
336,0.2700000000000001,0.11999999999999998,74011.05953132994
337,0.2700000000000001,0.12999999999999998,131496.28157318034
338,0.2700000000000001,0.13999999999999999,204573.21855524988
339,0.2700000000000001,0.15,292766.7867839998
340,0.2700000000000001,0.16,395612.9257347968
341,0.2700000000000001,0.17,512658.3720169121
342,0.2700000000000001,0.18000000000000002,643460.4369545825
343,0.2700000000000001,0.19000000000000003,787586.7877361907
344,0.2700000000000001,0.20000000000000004,944615.2320841247
345,0.2700000000000001,0.21000000000000005,1114133.5063982045
346,0.2700000000000001,0.22000000000000006,1295739.0673261168
347,0.2700000000000001,0.23000000000000007,1489038.8867146105
348,0.2700000000000001,0.24000000000000007,1693649.2498957324
349,0.2700000000000001,0.25000000000000006,1909195.557262721
350,0.2700000000000001,0.26000000000000006,2135312.129090705
351,0.2800000000000001,0.01,789351.5351077016
352,0.2800000000000001,0.02,618342.444373252
353,0.2800000000000001,0.03,469573.3023880797
354,0.2800000000000001,0.04,342417.733299725
355,0.2800000000000001,0.05,236263.3969206804
356,0.2800000000000001,0.060000000000000005,150511.71540726567
357,0.2800000000000001,0.07,84577.60416300349
358,0.2800000000000001,0.08,37889.20691344187
359,0.2800000000000001,0.09,9887.634899794632
360,0.2800000000000001,0.09999999999999999,26.710139170546352
361,0.2800000000000001,0.10999999999999999,7772.712699628872
362,0.2800000000000001,0.11999999999999998,32604.13193869963
363,0.2800000000000001,0.12999999999999998,74011.42165445055
364,0.2800000000000001,0.13999999999999999,131496.75909861675
365,0.2800000000000001,0.15,204573.80780171955
366,0.2800000000000001,0.16,292767.48416055785
367,0.2800000000000001,0.17,395613.7277388528
368,0.2800000000000001,0.18000000000000002,512659.27523228864
369,0.2800000000000001,0.19000000000000003,643461.4380496048
370,0.2800000000000001,0.20000000000000004,787587.8834618226
371,0.2800000000000001,0.21000000000000005,944616.4192721127
372,0.2800000000000001,0.22000000000000006,1114134.781959291
373,0.2800000000000001,0.23000000000000007,1295740.4282482571
374,0.2800000000000001,0.24000000000000007,1489040.3300612378
375,0.2800000000000001,0.25000000000000006,1693650.7728040393
376,0.2800000000000001,0.26000000000000006,1909197.156941997
377,0.2800000000000001,0.2700000000000001,2135313.802820685
378,0.2900000000000001,0.01,983239.7330163794
379,0.2900000000000001,0.02,789350.1783320719
380,0.2900000000000001,0.03,618341.2564108596
381,0.2900000000000001,0.04,469572.2782571179
382,0.2900000000000001,0.05,342416.8681368089
383,0.2900000000000001,0.060000000000000005,236262.68597836356
384,0.2900000000000001,0.07,150511.15405159348
385,0.2900000000000001,0.08,84577.18787110687
386,0.2900000000000001,0.09,37888.93127118361
387,0.2900000000000001,0.09999999999999999,9887.49559944738
388,0.2900000000000001,0.10999999999999999,26.702977144873707
389,0.2900000000000001,0.11999999999999998,7772.833574235271
390,0.2900000000000001,0.12999999999999998,32604.376847954456
391,0.2900000000000001,0.13999999999999999,74011.78669392098
392,0.2900000000000001,0.15,131497.24045930494
393,0.2900000000000001,0.16,204574.4017679817
394,0.2900000000000001,0.17,292768.1871080637
395,0.2900000000000001,0.18000000000000002,395614.5361325816
396,0.2900000000000001,0.19000000000000003,512660.1856245693
397,0.2900000000000001,0.20000000000000004,643462.4470781706
398,0.2900000000000001,0.21000000000000005,787588.9878479248
399,0.2900000000000001,0.22000000000000006,944617.615818663
400,0.2900000000000001,0.23000000000000007,1114136.0675490159
401,0.2900000000000001,0.24000000000000007,1295741.7998419187
402,0.2900000000000001,0.25000000000000006,1489041.7846958681
403,0.2900000000000001,0.26000000000000006,1693652.307591219
404,0.2900000000000001,0.2700000000000001,1909198.7690661482
405,0.2900000000000001,0.2800000000000001,2135315.4895374104
406,0.3000000000000001,0.01,1200663.4806493127
407,0.3000000000000001,0.02,983238.1896740679
408,0.3000000000000001,0.03,789348.8103728532
409,0.3000000000000001,0.04,618340.0586823459
410,0.3000000000000001,0.05,469571.24572923634
411,0.3000000000000001,0.060000000000000005,342415.99589923606
412,0.3000000000000001,0.07,236261.9692380039
413,0.3000000000000001,0.08,150510.5881301009
414,0.3000000000000001,0.09,84576.76820245408
415,0.3000000000000001,0.09999999999999999,37888.653399271214
416,0.3000000000000001,0.10999999999999999,9887.355175758183
417,0.3000000000000001,0.11999999999999998,26.695758436479686
418,0.3000000000000001,0.12999999999999998,7772.955420279447
419,0.3000000000000001,0.13999999999999999,32604.62371931285
420,0.3000000000000001,0.15,74012.15464976378
421,0.3000000000000001,0.16,131497.7256552646
422,0.3000000000000001,0.17,204575.00045405197
423,0.3000000000000001,0.18000000000000002,292768.89562653366
424,0.3000000000000001,0.19000000000000003,395615.3509160074
425,0.3000000000000001,0.20000000000000004,512661.1031937706
426,0.3000000000000001,0.21000000000000005,643463.4640402988
427,0.3000000000000001,0.22000000000000006,787590.1008945217
428,0.3000000000000001,0.23000000000000007,944618.8217237832
429,0.3000000000000001,0.24000000000000007,1114137.3631673844
430,0.3000000000000001,0.25000000000000006,1295743.1821071059
431,0.3000000000000001,0.26000000000000006,1489043.2506185179
432,0.3000000000000001,0.2700000000000001,1693653.854257285
433,0.3000000000000001,0.2800000000000001,1909200.3936351836
